1,George Washington,1789-1797,Independent,He was the first.,https://www.whitehouse.gov/sites/whitehouse.gov/files/images/first-family/01_george_washington%5B1%5D.jpg
2,John Adams,1797-1801,Federalist,He was the first to live in the White House.,https://www.whitehouse.gov/sites/whitehouse.gov/files/images/first-family/02_john_adams%5B1%5D.jpg
3,Thomas Jefferson,1801-1809,Democratic-Republican,He spoke 6 different languages.,https://www.whitehouse.gov/sites/whitehouse.gov/files/images/first-family/03_thomas_jefferson.jpg
4,James Madison,1809-1817,Democratic-Republican,He was the smallest President: 5'4" under 100 lbs.,https://www.whitehouse.gov/sites/whitehouse.gov/files/images/first-family/04_james_madison.jpg
5,James Monroe,1817-1825,Democratic-Republican,He died on the 4th of July.,https://www.whitehouse.gov/sites/whitehouse.gov/files/images/first-family/05_james_monroe.jpg
6,John Q. Adams,1825-1829,Democratic-Republican,He was the son of John Adams.,https://www.whitehouse.gov/sites/whitehouse.gov/files/images/first-family/06_john_quincy_adams.jpg
7,Andrew Jackson,1829-1837,Democrat,He was the first President to ride a train.,https://www.whitehouse.gov/sites/whitehouse.gov/files/images/first-family/07_andrew_jackson%5B1%5D.jpg
8,Martin Van Buren,1837-1841,Democrat,He was the first President to be born as an American citizen.,https://www.whitehouse.gov/sites/whitehouse.gov/files/images/first-family/08_martin_van_buren.jpg
9,William Henry Harrison,1841-1841,Whig,He was only in office for 31 days before dying of pnueumonia.,https://www.whitehouse.gov/sites/whitehouse.gov/files/images/first-family/09_william_henry_harrison.jpg
10,John Tyler,1841-1845,Whig,He had 15 children.,https://www.whitehouse.gov/sites/whitehouse.gov/files/images/first-family/10_john_tyler.jpg
11,James K. Polk,1845-1849,Democrat,He was the first President to serve a nation from coast to coast.,https://www.whitehouse.gov/sites/whitehouse.gov/files/images/first-family/11_james_polk.jpg
12,Zachary Taylor,1849-1850,Whig,He never voted for a President.,https://www.whitehouse.gov/sites/whitehouse.gov/files/images/first-family/12_zachary_taylor.jpg
13,Millard Fillmore,1850-1853,Whig,He was the first President to have running water in the White House.,https://www.whitehouse.gov/sites/whitehouse.gov/files/images/first-family/13_millard_fillmore.jpg
14,Franklin Pierce,1853-1857,Democrat,He Memorized his entire inaugural speech.,https://www.whitehouse.gov/sites/whitehouse.gov/files/images/first-family/14_franklin_pierce.jpg
15,James Buchanan,1857-1861,Democrat,He never married.,https://www.whitehouse.gov/sites/whitehouse.gov/files/images/first-family/15_james_buchanan.jpg
16,Abraham Lincoln,1861-1865,Republican,He was the tallest President and was the first President to be assassinated.,https://www.whitehouse.gov/sites/whitehouse.gov/files/images/first-family/16_abraham_lincoln%5B1%5D.jpg
17,Andrew Johnson,1865-1869,Democrat,He was burried wrapped in an American flag with a copy of the Constitution.,https://www.whitehouse.gov/sites/whitehouse.gov/files/images/first-family/17_andrew_johnson%5B1%5D.jpg
18,Ulysses S. Grant,1869-1877,Republican,He was fined $20 for speeding in his horse and carriage.,https://www.whitehouse.gov/sites/whitehouse.gov/files/images/first-family/18_ulysses_s_grant.jpg
19,Rutherford B. Hayes,1877-1881,Republican,He was the first President to use a phone(his phone number was 1).,https://www.whitehouse.gov/sites/whitehouse.gov/files/images/first-family/19_rutherford_b_hayes.jpg
20,James A. Garfield,1881-1881,Republican,He could write with both hands at the same time(in different languages).,https://www.whitehouse.gov/sites/whitehouse.gov/files/images/first-family/20_james_a_garfield.jpg
21,Chester Alan Arthur,1881-1885,Republican,He changed his pants several times a day(he owned 80 pairs of pants).,https://www.whitehouse.gov/sites/whitehouse.gov/files/images/first-family/21_chester_alan_arthur.jpg
22,Grover Cleveland,1885-1889,Democrat,He was the first and only President married in the White House.,https://www.whitehouse.gov/sites/whitehouse.gov/files/images/first-family/22_grover_cleveland.jpg
23,Benjamin Harrison,1889-1893,Republican,He was the first President to have electric lights and a Christmas tree in the White House.,https://www.whitehouse.gov/sites/whitehouse.gov/files/images/first-family/23_benjamin_harrison%5B1%5D.jpg
24,Grover Cleveland,1893-1897,Democrat,He was the first and only President to serve 2 non-consecutive terms.,https://www.whitehouse.gov/sites/whitehouse.gov/files/images/first-family/24_grover_cleveland.jpg
25,William McKinley,1897-1901,Republican,He was the first President to use campaign buttons.,https://www.whitehouse.gov/sites/whitehouse.gov/files/images/first-family/25_william_mckinley.jpg
26,Theodore Roosevelt,1901-1909,Republican,He was the youngest President.,https://www.whitehouse.gov/sites/whitehouse.gov/files/images/first-family/26_theodore_roosevelt.jpg
27,William Howard Taft,1909-1913,Republican,He was the heaviest President(332 lbs).,https://www.whitehouse.gov/sites/whitehouse.gov/files/images/first-family/27_william_howard_h_taft.jpg
28,Woodrow Wilson,1913-1921,Democrat,He dreamed of being a stage performer.,https://www.whitehouse.gov/sites/whitehouse.gov/files/images/first-family/28_woodrow_wilson.jpg
29,Warren G. Harding,1921-1923,Republican,He gambled away a set of White House china.,https://www.whitehouse.gov/sites/whitehouse.gov/files/images/first-family/29_warren_g_harding.jpg
30,Calvin Coolidge,1923-1929,Republican,He was the only president born on the 4th of July.,https://www.whitehouse.gov/sites/whitehouse.gov/files/images/first-family/30_calvin_coolidge.jpg
31,Herbert C. Hoover,1929-1933,Republican,He spoke chinese to his wife to keep their stories private.,https://www.whitehouse.gov/sites/whitehouse.gov/files/images/first-family/31_herbert_hoover.jpg
32,Franklin D. Roosevelt,1933-1945,Democrat,He was the only President to serve more than 2 terms.,https://www.whitehouse.gov/sites/whitehouse.gov/files/images/first-family/32_franklin_d_roosevelt.jpg
33,Harry S. Truman,1945-1953,Democrat,He read every book in his hometown library.,https://www.whitehouse.gov/sites/whitehouse.gov/files/images/first-family/33_harry_s_truman.jpg
34,Dwight D. Eisenhower,1953-1961,Republican,He was the commander of Allied Forces during World War II.,https://www.whitehouse.gov/sites/whitehouse.gov/files/images/first-family/34_dwight_d_eisenhower%5B1%5D.jpg
35,John F. Kennedy,1961-1963,Democrat,He was the first Catholic President.,https://www.whitehouse.gov/sites/whitehouse.gov/files/images/first-family/35_john_f_kennedy.jpg
36,Lyndon B. Johnson,1963-1969,Democrat,He was an auto mechanic and teacher before being President.,https://www.whitehouse.gov/sites/whitehouse.gov/files/images/first-family/36_lyndon_b_johnson.jpg
37,Richard M. Nixon,1969-1974,Republican,He recommended a play to the Miami Dolphins in Super Bowl VI.,https://www.whitehouse.gov/sites/whitehouse.gov/files/images/first-family/37_richard_m_nixon.jpg
38,Gerald R. Ford,1974-1977,Republican,He held his daughter's High School prom in the White House.,https://www.whitehouse.gov/sites/whitehouse.gov/files/images/first-family/38_gerald_ford.jpg
39,James E. Carter,1977-1981,Democrat,He was the first President born in a hospital.,https://www.whitehouse.gov/sites/whitehouse.gov/files/images/first-family/39_jimmy_carter.jpg
40,Ronald W. Reagan,1981-1989,Republican,He was the oldest President(69-77).,https://www.whitehouse.gov/sites/whitehouse.gov/files/images/first-family/40_ronald_reagan.jpg
41,George H.W. Bush,1989-1993,Republican,He survived 4 plane crashes during World War II.,https://www.whitehouse.gov/sites/whitehouse.gov/files/images/first-family/41_george_h_w_bush.jpg
42,William J. Clinton,1993-2001,Democrat,He Played the saxophone on national TV.,https://www.whitehouse.gov/sites/whitehouse.gov/files/images/first-family/42_bill_clinton.jpg
43,George W. Bush,2001-2009,Republican,He has a collection of over 250 signed baseballs.,https://www.whitehouse.gov/sites/whitehouse.gov/files/images/first-family/43_george_w_bush.jpg
44,Barack H. Obama,2009-2017,Democrat,He was the first African-American President,https://www.whitehouse.gov/sites/whitehouse.gov/files/images/first-family/44_barack_obama%5B1%5D.jpg
45,Donald J. Trump, 2017-Present,Republican,He was the first president to ever have received a Stone Cold Stunner from Stone Cold Steve Austin.,https://cmgajcbuzz.files.wordpress.com/2015/12/nbc-fires-donald-trump-after-he-calls-mexicans-rapists-and-drug-runners1.jpg
